titres,adresses,liens,categorie,type,lon,lat
Ecole élémentaire Condorcet,"6 rue Alfred de Musset, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-elementaires-publiques/ecole-elementaire-condorcet,ecoles-elementaires-publiques,enseignement,4.8918,45.7484
Ecole maternelle et élémentaire Cours Diot,"11 Place Maréchal Lyautey, 69006 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-privees/ecole-maternelle-et-elementaire-cours-diot,ecoles-maternelles-privees,enseignement,4.8431,45.7683
Cours Pascal,"21 rue Longue, 69001 Lyon",https://www.lyon.fr/lieu/lycees-prives-hors-contrat/cours-pascal,lycees-prives-hors-contrat,enseignement,4.833,45.7655
Cours privé Montesquieu,"5 rue Bonnefoi, 69003 Lyon",https://www.lyon.fr/lieu/lycees-prives-hors-contrat/cours-prive-montesquieu,lycees-prives-hors-contrat,enseignement,4.8456,45.7555
Collège Montesquieu,"5 rue Bonnefoi, 69003 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-montesquieu,colleges-prives,enseignement,4.8456,45.7556
Collège Pierre Zimmermann,"83 Quai Pierre Scize, 69005 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-pierre-zimmermann,colleges-prives,enseignement,4.8237,45.7672
Ecole maternelle Diderot,"25 avenue de Ménival, 69005 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-diderot,ecoles-maternelles-publiques,enseignement,4.7859,45.756100000000004
Ecole élémentaire Diderot,"25 Avenue de Ménival, 69005 Lyon",https://www.lyon.fr/lieu/ecoles-elementaires-publiques/ecole-elementaire-diderot,ecoles-elementaires-publiques,enseignement,4.7852,45.7564
Ecole élémentaire Trouilhet,"25 rue Léo et Maurice Trouilhet, 69008 Lyon",https://www.lyon.fr/lieu/ecoles-primaires-privees/ecole-elementaire-trouilhet,ecoles-primaires-privees,enseignement,4.8685,45.7438
Ecole maternelle et élémentaire arménienne Markarian Papazian,"42 rue d'Arménie, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-privees/ecole-maternelle-et-elementaire-armenienne-markarian-papazian,ecoles-maternelles-privees,enseignement,4.8523,45.7545
Ecole maternelle et élémentaire Junior School,"67 Avenue Jean Mermoz, 69008 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-privees/ecole-maternelle-et-elementaire-junior-school,ecoles-maternelles-privees,enseignement,4.8769,45.7345
Ecoles de Condé,"23 rue Camille Roy, 69007 Lyon",https://www.lyon.fr/lieu/formations-aux-metiers-de-la-culture/ecoles-de-conde,formations-aux-metiers-de-la-culture,enseignement,4.847332,45.7452987
Ecole élémentaire Déborde,"72 rue Ney, 69006 Lyon",https://www.lyon.fr/lieu/ecoles-primaires-privees/ecole-elementaire-deborde,ecoles-primaires-privees,enseignement,4.8556,45.7666
Ecole maternelle internationale Le Petit Monde,"89 rue André Bollier, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-privees/ecole-maternelle-internationale-le-petit-monde,ecoles-maternelles-privees,enseignement,4.834,45.7349
Ecole maternelle Les Tables Claudiennes,"2 rue des Tables Claudiennes, 69001 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-les-tables-claudiennes,ecoles-maternelles-publiques,enseignement,4.8311,45.7708
Ecole maternelle Lucie Aubrac,"21 rue Jarente, 69002 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-lucie-aubrac,ecoles-maternelles-publiques,enseignement,4.8289,45.7541
Ecole maternelle Condé,"37 rue de Condé, 69002 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-conde,ecoles-maternelles-publiques,enseignement,4.8312,45.7509
Ecole maternelle Gilibert,"7 rue Gilibert, 69002 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-gilibert,ecoles-maternelles-publiques,enseignement,4.8237,45.7477
Ecole maternelle Etienne Dolet,"7 rue Etienne Dolet, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-etienne-dolet,ecoles-maternelles-publiques,enseignement,4.8507,45.7575
Ecole maternelle Meynis,"6 bis rue Meynis, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-meynis,ecoles-maternelles-publiques,enseignement,4.8707,45.7556
Ecole maternelle Viala,"3 rue Viala, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-viala,ecoles-maternelles-publiques,enseignement,4.8857,45.7479
Ecole maternelle Commandant Arnaud,"2 place Commandant Arnaud, 69004 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-commandant-arnaud,ecoles-maternelles-publiques,enseignement,4.8348,45.7794
Ecole maternelle Fulchiron,"16 quai Fulchiron, 69005 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-fulchiron,ecoles-maternelles-publiques,enseignement,4.8252,45.7572
Ecole maternelle Irène Joliot Curie B,"Impasse Secret, 69005 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-irene-joliot-curie-b,ecoles-maternelles-publiques,enseignement,4.7945,45.7563
Ecole maternelle Créqui,"123 rue de Créqui, 69006 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-crequi,ecoles-maternelles-publiques,enseignement,4.8468,45.7666
Ecole maternelle Cavenne,"46 rue Pasteur, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-cavenne,ecoles-maternelles-publiques,enseignement,4.8397,45.7529
Ecole maternelle Gilbert Dru,"1 rue St Michel, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-gilbert-dru,ecoles-maternelles-publiques,enseignement,4.843,45.7532
Ecole maternelle Chavant,"9 rue Jean Marie Chavant, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-chavant,ecoles-maternelles-publiques,enseignement,4.8477,45.7528
Ecole maternelle Berthelot,"19 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-berthelot,ecoles-maternelles-publiques,enseignement,4.8365,45.7472
Ecole maternelle du Rhône,"52 rue du Rhône, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-du-rhone,ecoles-maternelles-publiques,enseignement,4.8276,45.7322
Ecole maternelle Maryse Bastié,"40 rue Maryse Bastié, 69008 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-maryse-bastie,ecoles-maternelles-publiques,enseignement,4.8738,45.7391
Ecole maternelle Jean Zay,"3 rue Jean Zay, 69009 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-jean-zay,ecoles-maternelles-publiques,enseignement,4.8033,45.7673
Ecole maternelle Antoine de Saint Exupéry,"59 rue de la Part Dieu, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-antoine-de-saint-exupery,ecoles-maternelles-publiques,enseignement,4.8465,45.7596
